Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.102,0.113,0.099,0.096,0.095,0.093,0.101,0.104,0.098,0.099,6000
Client   1,0.096,0.114,0.103,0.104,0.093,0.096,0.095,0.108,0.092,0.098,6000
Client   2,0.097,0.106,0.093,0.111,0.091,0.092,0.099,0.106,0.099,0.107,6000
Client   3,0.096,0.114,0.095,0.111,0.102,0.092,0.093,0.109,0.093,0.095,6000
Client   4,0.099,0.111,0.102,0.101,0.096,0.087,0.103,0.109,0.097,0.096,6000
Client   5,0.095,0.114,0.106,0.101,0.099,0.085,0.101,0.101,0.101,0.098,6000
Client   6,0.105,0.112,0.100,0.095,0.102,0.089,0.096,0.103,0.099,0.100,6000
Client   7,0.100,0.114,0.108,0.098,0.096,0.083,0.098,0.103,0.102,0.097,6000
Client   8,0.096,0.114,0.091,0.101,0.098,0.091,0.110,0.097,0.101,0.103,6000
Client   9,0.102,0.112,0.097,0.103,0.102,0.096,0.091,0.105,0.093,0.099,6000
