Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.503,0.00,0.00,0.00,0.497,0.00,0.00,0.00,0.00,0.00,5883
Client   1,0.00,0.554,0.00,0.00,0.00,0.446,0.00,0.00,0.00,0.00,4055
Client   2,0.00,0.00,0.667,0.00,0.00,0.00,0.00,0.00,0.00,0.333,8933
Client   3,0.326,0.00,0.00,0.674,0.00,0.00,0.00,0.00,0.00,0.00,9092
Client   4,0.00,0.00,0.00,0.00,0.497,0.00,0.503,0.00,0.00,0.00,5880
Client   5,0.00,0.00,0.00,0.00,0.00,0.382,0.00,0.00,0.618,0.00,4733
Client   6,0.00,0.432,0.00,0.00,0.00,0.00,0.568,0.00,0.00,0.00,5206
Client   7,0.00,0.00,0.00,0.00,0.00,0.366,0.00,0.634,0.00,0.00,4940
Client   8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.517,0.483,0.00,6057
Client   9,0.00,0.430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.570,5221
