Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.061,0.132,0.055,0.00,0.079,0.188,0.111,0.125,0.247,0.00,7121
Client   1,0.046,0.108,0.207,0.142,0.022,0.177,0.232,0.009,0.001,0.055,5015
Client   2,0.019,0.359,0.365,0.257,0.00,0.00,0.00,0.00,0.00,0.00,7997
Client   3,0.025,0.007,0.106,0.185,0.134,0.118,0.028,0.220,0.103,0.074,5768
Client   4,0.020,0.000,0.004,0.038,0.312,0.074,0.171,0.314,0.066,0.00,6384
Client   5,0.127,0.058,0.001,0.036,0.240,0.002,0.006,0.018,0.161,0.350,7130
Client   6,0.311,0.004,0.092,0.002,0.006,0.030,0.289,0.162,0.024,0.080,2012
Client   7,0.042,0.255,0.010,0.148,0.018,0.200,0.012,0.009,0.001,0.304,6922
Client   8,0.300,0.016,0.114,0.011,0.004,0.093,0.288,0.174,0.00,0.00,6124
Client   9,0.212,0.013,0.001,0.126,0.094,0.001,0.044,0.084,0.337,0.088,5527
