Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.102,0.120,0.089,0.104,0.096,0.107,0.089,0.105,0.092,0.095,4513
Client   1,0.128,0.088,0.123,0.110,0.075,0.106,0.101,0.106,0.057,0.106,227
Client   2,0.074,0.111,0.095,0.133,0.103,0.069,0.095,0.085,0.111,0.122,377
Client   3,0.103,0.110,0.102,0.100,0.095,0.086,0.100,0.107,0.099,0.098,5704
Client   4,0.127,0.118,0.127,0.064,0.100,0.064,0.100,0.109,0.073,0.118,110
Client   5,0.098,0.112,0.101,0.102,0.097,0.089,0.099,0.105,0.098,0.099,37889
Client   6,0.091,0.102,0.091,0.125,0.080,0.102,0.091,0.034,0.102,0.182,88
Client   7,0.095,0.111,0.096,0.100,0.097,0.087,0.110,0.100,0.103,0.100,4713
Client   8,0.103,0.115,0.095,0.102,0.100,0.095,0.094,0.102,0.091,0.103,3967
Client   9,0.094,0.111,0.101,0.105,0.111,0.095,0.091,0.106,0.093,0.094,2407
